0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Tarifa Ofertas Semana 09,,Válida del 01 de Marzo al 06 de Marzo del 2021,,,,,I.V.A. no Incluido,0.1,0.15,0.2,,
Código,Sección,Producto,€/Kg. o €/Unidad,+ 5 kgs. o piezas (aplicado 10% dto.),+ 10 kgs. o piezas (aplicado 15% dto.),+ 25 kgs. o piezas (aplicado 20% dto.),Tipo I.V.A. aplicable,Origen,Origen,Origen,Origen,Su Pedido,
,,¡¡¡Productos Recomendados!!!,,,,,,,,,,,
5134,,Chirimoya ECONÓMICA  local  DE MUY BUENA CALIDAD ESTA SENANA (EN BUEN ESTADO) en caja de 4-5 kgs. (pedido mínimo 1 caja)¡¡Oferta!!,1.49,Precio por kilo en caja de 4-5 kgs. +/- (PEDIDO MÍNIMO DE UNA CAJA),,,0.04,Granada,,,,,
3032,,Chirimoya local producción propia. Finca en proceso de reconversión a la agricultura ecológica. F.E. (fruta de la estación) ,3.98,3.582,3.383,-,0.04,Salobreña,,,,,
3391,,Coco Pagode fresco (pieza) ¡¡¡Delicioso y especial!!! ,2.98,2.682,-,-,0.04,Tailandia,,,,,
OFERTA,,"Fruta BIO / local variada económica (medio madura, defectos, …) en caja de 3-5 kgs. o más (sin reclamación)",1.29,Precio por kilo en caja de 3-5 kgs. o más,,,0.04,Granada,,,,,
1619,Frutas,Guayaba BIO (producción propia). F.E. (fruta de la estación). Disponibilidad segura,3.69,3.3209999999999997,3.1365,2.952,0.04,Granada,,,,,
3217,,Guayaba local F.E. (fruta de la estación),3.59,3.231,3.0515,-,0.04,Granada,,,,,
3138,,Higo Chumbo local (poca cantidad),6.98,-,-,-,0.04,Nacional,,,,,
3177,,Higo Cuello de Dama seco-blando (nueva cosecha 2020). F.E. (fruta de la estación),5.89,5.301,5.0065,-,0.04,Ávila,,,,,
5128,,Higo Cuello de Dama seco-blando pequeño (nueva cosecha 2020). F.E. (fruta de la estación). SOLO SE SIRVE EN BOLSA DE 4 KGS.,3.49,3.141,2.9665000000000004,Precio por kilo en bolsa de 4 kgs.,0.04,Ávila,,,,,
5150,,Higo de miel bañado en chocolate crudo con vainilla natural y sin azúcar. Apto para diabéticos (20 unidades/bandeja 300 grs. +/-). Producción propia artesanal. RAW,5.98,Precio por bandeja de 20 unidades,,,0.04,Nacional,,,,,
1119,,Higo de miel semi-seco de la Alpujarra BIO (grande) prensado env. 700 grs. cristal ¡¡¡Excelente y especial!!! F.E. (fruta de la estación),4.89,Precio por bote de cristal de 700 grs.,,,0.04,Granada,,,,,
